Từng cặp một	一一对
Chỉ một chút thôi.	一丁点
10 nghìn.	一万个
15 nghìn.	一万五
Nghìn tỷ đồng.	一万亿
Mười nghìn lần	一万倍
10.000 nhân dân tệ	一万元
10 nghìn cuốn sách.	一万册
Mười nghìn con	一万只
Mười nghìn người	一万名
10.000 đô.	一万块
Hơn 10 nghìn	一万多
Mười nghìn ngày	一万天
10 nghìn con.	一万头
Mười nghìn trường hợp	一万宗
Mười nghìn hộ gia đình	一万家
Mười nghìn năm	一万年
10 nghìn tờ	一万张
10 nghìn hộ gia đình	一万户
Mười nghìn thanh	一万条
Mười nghìn lần	一万次
Mười nghìn bước chân	一万步
Mười ngàn	一万盏
10 nghìn loài	一万种
Mười nghìn lần	一万遍
Một, ba, một	一三一
Một buổi sáng	一上午
Ngay khi lên sân khấu	一上台
Ngay khi lên sân khấu	一上场
Một chút thôi.	一下下
Bên cạnh đó,	一下场
Một cái đầu.	一下头
Ngay lập tức,	一下子
Ra khỏi giường đi.	一下床
Chỉ cần một tay thôi.	一下手
Dừng lại!	一下站
Một cái mặt	一下脸
Không phân biệt một	一不分
Một người không bị ảnh hưởng bởi	一不受
Một là không lớn.	一不大
Một là không quá.	一不太
Không có thật.	一不实
Một là không nên	一不应
Một sự thiếu tôn trọng	一不敬
Không giới hạn một	一不限
Một cụm	一丛丛
Một cụm cây	一丛树
Một, hai mươi nghìn.	一两万
Một hoặc hai lần	一两下
Một hoặc hai.	一两个
Một hoặc hai mảnh	一两件
Một, hai lần	一两倍
Một hoặc hai điểm	一两分
Một, hai nghìn	一两千
Một hoặc hai cú đánh	一两发
Một, hai miếng	一两口
Một hoặc hai câu	一两句
Một hoặc hai con	一两只
Một hoặc hai người	一两名
Một hoặc hai tuần	一两周
Một hoặc hai trận đấu	一两场
Một hoặc hai đô la	一两块
Một hoặc hai âm thanh	一两声
Một hoặc hai địa điểm	一两处
Một, hai ngày	一两天
Một hoặc hai bộ	一两套
Một hoặc hai nhà	一两家
Một, hai tuổi.	一两岁
Một, hai năm	一两年
Một hoặc hai tờ	一两张
Một, hai thủ thuật	一两招
Một hoặc hai.	一两支
Một hoặc hai cuốn sách	一两本
Một hoặc hai cốc	一两杯
Một hoặc hai cái	一两枚
Một hoặc hai chủng	一两株
Một hoặc hai cái	一两根
Một hoặc hai lần	一两次
Một hoặc hai mẫu	一两款
Một hoặc hai bước	一两步
Một hoặc hai điểm	一两点
Một hoặc hai viên	一两片
Một, hai trăm	一两百
Một hoặc hai giây.	一两秒
Một hoặc hai bài báo	一两篇
Một, hai mét.	一两米
Một hoặc hai chiếc	一两辆
Một hoặc hai lần	一两遍
Một hoặc hai bộ	一两部
Một hoặc hai phòng	一两间
Một hoặc hai trang	一两页
Một hoặc hai mặt hàng	一两项
Một hoặc hai.	一两颗
Một hoặc hai bài hát	一两首
Từng người một	一个个
Một trăm triệu	一个亿
Một Vũ	一个伍
Một gói	一个包
Một nghìn	一个千
Một nửa.	一个半
Một đôi	一个双
Một cái tên	一个名
Một tiếng chuông	一个响
Một trung đoàn	一个团
Một vòng tròn	一个圈
Hơn một	一个多
Trong một ngày	一个天
Một người đứng đầu	一个头
Một bộ	一个套
Một chiếc giường	一个床
Một trận đánh	一个打
Một trung đội	一个排
Một nhánh	一个支
Một nguyên	一个整
Một tháng	一个月
Một kiểu như vậy.	一个样
Một thùng	一个桶
Một điểm	一个点
Một lớp học	一个班
Một chậu	一个盆
Một cái bát	一个碗
Một tờ giấy	一个纸
Một nhóm	一个组
Một chiếc lốp	一个胎
Một góc	一个角
Một cơ thể	一个身
Một thương vụ	一个通
Một bộ	一个集
Một con số không	一个零
Một ngọn	一个顶
Một chuỗi	一串串
Một chùm màu đỏ	一串红
Một ngôi nhà	一之家
Trong một cuốn sách	一书中
Một cuốn sách dành cho	一书为
Một cuốn sách được viết trên	一书于
Một cuốn sách và	一书及
Khi một cuốn sách	一书时
Một cuốn sách đến	一书来
Một cuốn sách cho biết	一书称
Một cuốn sách dài	一书长
Một hoặc hai.	一二个
Một phân nhóm	一亚组
Một phân nhóm	一亚群
Một số loại lụa	一些丝
Một số trường hợp	一些则
Một số nửa	一些半
Một số loài	一些种
Một lần trước khi sinh	一产前
Dưới một người	一人下
Một người nâng	一人举
Một người đàn ông trong	一人于
Một người chỉ	一人仅
Một người với	一人以
Một người làm nhiệm vụ	一人任
Một người chia sẻ	一人份
Một người sẽ	一人会
Sống một mình	一人住
Một người ra	一人出
Một người đến	一人到
Hệ thống một người	一人制
Một người và	一人及
Một người bị	一人受
Sau khi một người	一人后
Ngoài một người	一人外
Một người mang	一人带
Một người nên	一人应
Một người một độ	一人度
Một người lái xe	一人开
Một người bị	一人患
Hộ gia đình một người	一人户
Một người cầm	一人持
Theo một người	一人据
Khi một người	一人时
Một người hướng về phía	一人朝
Một cuốn sách	一人本
Đến một mình	一人来
Một người cực	一人极
Bàn dành cho một người	一人桌
Một người sống	一人活
Một người sử dụng	一人用
Một người ở lại	一人留
Một người hơi	一人略
Giáo dục một người	一人育
Một người có thể	一人能
Một người muốn	一人要
Hẹn gặp lại mọi người.	一人见
Một người đọc	一人读
Bắt đầu từ một người	一人起
Một người đã vượt qua	一人过
Một con người	一人道
Một người chia	一人除
Một người phải	一人须
100 triệu người.	一亿人
100 triệu điểm.	一亿分
Hơn 100 triệu đồng.	一亿多
100 triệu năm	一亿年
Một thế hệ	一代人
Từ thế hệ này sang thế hệ khác	一代代
Từng mảnh một.	一件件
Cơ thể đơn hóa trị	一价体
Trạng thái đơn hóa trị	一价态
Một nhóm người	一伙人
Trong một thời gian	一会儿
Một chiếc ô	一伞式
Một con số	一位数
Hội nhập	一体化
Một trong một	一体式
Máy tất cả trong một	一体机
Một tùy chọn	一供择
Một khoản kinh phí	一供资
Một xu	一便士
Thống nhất	一元化
Chủ nghĩa nhất nguyên	一元论
Axit monobasic	一元酸
Rượu monohydric	一元醇
Một nghìn tỷ tấn	一兆吨
Một gam	一克减
Một gam rưỡi	一克半
Một gam muối	一克盐
Hệ thống độc đảng	一党制
Một khóa công khai	一公钥
Một ha	一公顷
Một sáu sáu sáu	一六六
Một lần lao qua	一冲过
Một lần xuất hiện	一出场
Một vở kịch	一出戏
Trước một cú đánh	一击前
Khi một cú đánh	一击时
Chỉ một đòn thôi.	一击来
Một kích thước phù hợp với tất cả	一刀切
Một phần hàng hóa	一分货
Một phút thôi.	一分钟
Một xu	一分钱
