Một chút thôi.	一下
Trong cuộc đời của	一世
Một trong những	一个
Một trường trung học cơ sở	一中
Một cuốn sách	一书
Một điều	一事
Một số	一些
Một người	一人
Một trận đánh	一仗
Thế hệ	一代
Một trong những	一件
Một bản sao	一份
Trong một thời gian	一会
Một trong những	一位
Một trong những	一体
Một trường hợp	一例
Một mặt	一侧
Nhân đôi	一倍
Một cấp độ	一关
Một cú đánh	一击
Một con dao	一刀
Một điểm	一分
Tất cả mọi thứ	一切
Một khoảnh khắc	一刻
Một thảm họa.	一劫
Một thìa	一勺
Một nửa	一半
Một miếng	一口
Một câu nói	一句
Một trong những	一只
Một trong những	一台
Số một	一号
Một bộ phận	一司
Một trong những	一名
Một tấn	一吨
Một nụ hôn	一吻
Một thành viên	一员
Một tuần lễ	一周
Một cuộc đời	一命
Một quả bóng	一团
Một quốc gia	一国
Một vòng tròn	一圈
Một nơi	一地
Một trong những	一场
Một khối	一块
Căn cứ đầu tiên	一垒
Một thành phố	一城
Một lớp học	一堂
Một đống	一堆
Một âm thanh	一声
Một nơi	一处
Một đêm	一夜
Trong một ngày	一天
Một bộ	一套
Một người phụ nữ	一女
Một con trai	一子
Một mùa giải	一季
Chắc chắn rồi.	一定
Tại phiên tòa sơ thẩm	一审
Một gia đình	一家
Một inch	一寸
Một cặp vợ chồng	一对
Một trong những	一封
Một vòng đấu	一局
Một lớp	一层
Một phiên giao dịch	一届
Một năm tuổi	一岁
Một khu vực	一带
Một khung hình	一帧
Một chỗ ngồi	一席
Một bức tranh	一幅
Một cảnh	一幕
Một năm	一年
Tại một thời điểm	一度
Một trong những	一座
Một trong những	一张
Ngạc nhiên	一惊
Chiến tranh thế giới thứ nhất	一战
Một tá	一打
Một đợt	一批
Một nắm	一把
Một thủ đoạn	一招
Một cú đấm	一拳
Một hàng	一排
Một cú hích	一推
Một cuộc chiến	一搏
Một trong những	一支
Một cái mới	一新
Phía bên	一方
Bên cạnh	一旁
Trong một thời gian	一时
Một ngôi sao	一星
Một đêm	一晚
Tháng giêng	一月
Một giai đoạn	一期
Một cuốn sách	一本
Một bông hoa	一朵
Một cú đánh	一杆
Một trong những	一条
Một cốc.	一杯
Một trong những	一枚
Một phát súng.	一枪
Một chiếc	一架
Một cột	一栏
Cũng giống như	一样
Một trường hợp	一案
Một bánh răng	一档
Tầng trệt.	一楼
Một lần	一次
Một đoạn	一款
Một bước	一步
Một đoạn	一段
FAW	一汽
Một bong bóng	一泡
Một làn sóng	一波
Một đồng	一洞
Hạng nhất	一流
Một chuyến tham quan	一游
Một giọt	一滴
Một điểm	一点
Một miếng	一片
Một phiên bản	一版
Một liên kết	一环
Một ca	一班
Một quả bóng	一球
Một chai	一瓶
Cả một đời người	一生
Một số	一番
Một đĩa	一盘
đã và đang	一直
Một cái nhìn	一看
Một cái nhìn thoáng qua	一眼
Một cái nhìn thoáng qua	一瞥
Một cân	一磅
Một lá phiếu	一票
Một loại	一种
Một môn học	一科
Một giây thôi.	一秒
Bí thư thứ nhất	一秘
Một chuyến đi	一程
Một cái trống rỗng	一空
Một điểm dừng chân	一站
Một chương	一章
Một đầu	一端
Một nụ cười	一笑
Một khoản	一笔
Một bài báo	一篇
Một mét	一米
Một lớp học	一类
Một viên	一粒
Cấp độ đầu tiên	一级
Tuyến đầu	一线
Một nhóm các	一组
Một nhóm các	一群
Một vị trí	一职
Một trận thắng	一胜
Một cú đá	一脚
Một chân	一腿
Nhất quán	一致
Đại tướng	一般
Một con tàu	一艘
Một phần	一节
Một dòng	一行
Sơ lược về	一览
Một góc	一角
Một từ	一词
Một lần thử	一试
Một từ	一语
Bài đọc đầu tiên	一读
Một bài học	一课
Một tiêu cực	一负
Cùng với nhau,	一起
Một bước nhảy vọt	一跃
Một cú ngã	一跤
Tất cả các con đường	一路
Một bước nhảy	一跳
Trong một	一身
Một cái cúi đầu	一躬
Một vòng đấu	一轮
Một chiếc	一辆
Bên cạnh	一边
Một lần nữa,	一遍
Cùng với nhau,	一道
Một trong những	一部
Một lượng vàng	一金
Một mũi khâu	一针
Một calcium	一钙
Một natri	一钠
Một đồng	一铜
Một ammonium	一铵
Một tia chớp	一闪
Một trong những	一间
Một đội	一队
Một tập	一集
Bên cạnh	一面
Một trang	一页
Một trong những	一项
Một bữa ăn	一顿
Một trong những	一颗
Một bữa ăn	一餐
Một bài hát	一首
Đình Đình	丁丁
Đình	丁基
Đinh Ninh	丁宁
Đình Mạnh	丁满
Butan	丁烷
Butylamine	丁胺
Butanone	丁酮
Butyl este	丁酯
Axit butyric	丁酸
Butanol	丁醇
Butyraldehyde	丁醛
Cây đinh hương	丁香
Bảy chiếc	七个
Bảy người	七人
Bảy lần	七倍
Bảy điểm	七分
Số bảy	七号
Bảy người	七名
Bảy trận	七场
Trong bảy ngày	七天
Bảy mùa	七季
Bảy tuổi	七岁
Bảy năm	七年
Bảy phần trăm	七成
Tháng 7	七月
Bảy điều khoản	七条
Bảy lần	七次
Heptachlor	七氯
7 giờ.	七点
Bảy tấm lưới	七网
Triệu chiếc.	万个
Triệu người.	万人
Nghìn tỷ đồng.	万亿
Triệu chiếc.	万件
Triệu bản sao.	万份
Mười nghìn trường hợp	万例
Mười nghìn lần	万倍
Triệu nhân dân tệ.	万元
Triệu cuốn sách.	万册
Những điểm tuyệt vời	万分
Triệu lít.	万升
Triệu đôi.	万双
Triệu chiếc.	万台
Triệu người.	万名
Triệu tấn.	万吨
Triệu lượt.	万圈
Triệu đồng.	万块
Triệu ngày.	万天
Triệu con.	万头
Triệu bộ.	万套
Vạn chữ	万字
Triệu đôi.	万对
Vạn tuế	万岁
Vạn năm	万年
Triệu tờ	万张
Triệu hộ gia đình.	万户
Vance.	万斯
Triệu bản.	万本
Triệu bài viết.	万条
Triệu thùng.	万桶
Triệu cây xanh.	万棵
Triệu lượt người.	万次
10 nghìn điểm	万点
Tất cả mọi thứ	万物
Văn Tế	万特
Triệu phiếu bầu	万票
Triệu mét.	万米
Triệu cổ phiếu	万股
Viêng Chăn	万象
Marriott	万豪
Triệu lượt thích.	万赞
Triệu trường hợp	万起
Triệu chiếc xe.	万辆
Triệu trang	万页
Người chồng	丈夫
Đo lường	丈量
Thế hệ thứ ba	三世
Ba trong số các	三个
Ba trường trung học cơ sở	三中
Ba người	三人
Ba thế hệ	三代
Ba bản sao	三份
Ba người bị thương	三伤
Ba người	三位
Ba lần	三倍
Ba nhân dân tệ	三元
Ba ngoài	三出
Ba điểm	三分
Ba mươi	三十
Ba đôi	三双
Ba câu đối	三句
